업종,구,동,추정매출
슈퍼마켓,강남구,개포동,518.75
슈퍼마켓,강남구,논현동,1606.4494382022472
슈퍼마켓,강남구,대치동,1758.9896907216496
슈퍼마켓,강남구,도곡동,803.0555555555555
슈퍼마켓,강남구,삼성동,1852.576
슈퍼마켓,강남구,세곡동,2422.423076923077
슈퍼마켓,강남구,신사동,1487.45
슈퍼마켓,강남구,역삼동,1729.2085889570553
슈퍼마켓,강남구,일원동,1041.05
슈퍼마켓,강남구,청담동,1809.142857142857
슈퍼마켓,광진구,광장동,1209.95
슈퍼마켓,광진구,구의동,1159.1864406779662
슈퍼마켓,광진구,군자동,1333.1
슈퍼마켓,광진구,능동,3286.6666666666665
슈퍼마켓,광진구,자양동,1108.2163742690059
슈퍼마켓,광진구,중곡동,1349.04
슈퍼마켓,광진구,화양동,1349.3766233766235
슈퍼마켓,서대문구,남가좌동,1730.6744186046512
슈퍼마켓,서대문구,북가좌동,1122.5
슈퍼마켓,서대문구,북아현동,1126.3111111111111
슈퍼마켓,서대문구,연희동,1291.8333333333333
슈퍼마켓,서대문구,홍은동,1393.7439024390244
슈퍼마켓,서대문구,홍제동,1310.4094488188975
슈퍼마켓,송파구,가락동,2000.0
슈퍼마켓,송파구,마천동,1412.5333333333333
슈퍼마켓,송파구,문정동,1690.3725490196077
슈퍼마켓,송파구,방이동,1598.72
슈퍼마켓,송파구,삼전동,3183.375
슈퍼마켓,송파구,석촌동,1036.1807228915663
슈퍼마켓,송파구,송파동,1783.536231884058
슈퍼마켓,송파구,오금동,1799.2291666666667
슈퍼마켓,송파구,잠실동,1915.4363636363637
슈퍼마켓,송파구,장지동,588.75
슈퍼마켓,송파구,풍납동,2625.315789473684
음식점,강남구,개포동,988.2785714285715
음식점,강남구,논현동,1384.1610486891386
음식점,강남구,대치동,1705.6700507614214
음식점,강남구,도곡동,1056.1153846153845
음식점,강남구,삼성동,1465.672131147541
음식점,강남구,세곡동,1265.0898876404494
음식점,강남구,신사동,1251.23
음식점,강남구,역삼동,1277.4534161490683
음식점,강남구,일원동,1039.15
음식점,강남구,청담동,1868.860465116279
음식점,광진구,광장동,1033.15
음식점,광진구,구의동,1008.0497512437811
음식점,광진구,군자동,1521.7230769230769
음식점,광진구,능동,1335.5121951219512
음식점,광진구,자양동,636.3170731707318
음식점,광진구,중곡동,634.2601351351351
음식점,광진구,화양동,1065.275
음식점,서대문구,남가좌동,664.6
음식점,서대문구,북가좌동,984.2685185185185
음식점,서대문구,북아현동,1014.25
음식점,서대문구,연희동,1212.5987261146497
음식점,서대문구,홍은동,619.9146341463414
음식점,서대문구,홍제동,705.1875
음식점,송파구,가락동,1104.7386363636363
음식점,송파구,거여동,1040.15
음식점,송파구,마천동,446.62393162393164
음식점,송파구,문정동,1326.875
음식점,송파구,방이동,1316.195
음식점,송파구,삼전동,1075.925
음식점,송파구,석촌동,928.825
음식점,송파구,송파동,1035.379746835443
음식점,송파구,오금동,1060.754716981132
음식점,송파구,잠실동,1141.3300970873786
음식점,송파구,장지동,1044.1833333333334
음식점,송파구,풍납동,469.35
카페,강남구,개포동,498.07894736842104
카페,강남구,논현동,731.7272727272727
카페,강남구,대치동,1075.523560209424
카페,강남구,도곡동,1192.1896551724137
카페,강남구,삼성동,1123.6228571428571
카페,강남구,세곡동,834.4794520547945
카페,강남구,신사동,1057.865671641791
카페,강남구,역삼동,884.8220640569396
카페,강남구,일원동,378.8
카페,강남구,청담동,823.8111888111888
카페,광진구,광장동,860.1627906976744
카페,광진구,구의동,813.6708074534162
카페,광진구,군자동,388.0425531914894
카페,광진구,능동,617.5833333333334
카페,광진구,자양동,513.8682170542636
카페,광진구,중곡동,307.5736434108527
카페,광진구,화양동,647.9237288135594
카페,서대문구,남가좌동,356.7936507936508
카페,서대문구,북가좌동,281.34
카페,서대문구,북아현동,241.57142857142858
카페,서대문구,연희동,548.5398773006135
카페,서대문구,홍은동,621.1020408163265
카페,서대문구,홍제동,333.8392857142857
카페,송파구,가락동,738.46875
카페,송파구,거여동,389.9166666666667
카페,송파구,마천동,268.17857142857144
카페,송파구,문정동,545.0094339622641
카페,송파구,방이동,739.3582887700535
카페,송파구,삼전동,537.3448275862069
카페,송파구,석촌동,304.6823529411765
카페,송파구,송파동,640.484375
카페,송파구,오금동,436.4193548387097
카페,송파구,잠실동,1011.876404494382
카페,송파구,장지동,292.6181818181818
카페,송파구,풍납동,329.95
학원,강남구,개포동,1086.1625
학원,강남구,논현동,916.4647887323944
학원,강남구,대치동,1730.24
학원,강남구,삼성동,935.5526315789474
학원,강남구,세곡동,1719.3703703703704
학원,강남구,신사동,1741.95
학원,강남구,역삼동,1669.3116883116884
학원,강남구,일원동,590.05
학원,강남구,청담동,894.7083333333334
학원,광진구,광장동,349.375
학원,광진구,구의동,740.8579545454545
학원,광진구,군자동,765.4666666666667
학원,광진구,능동,664.5925925925926
학원,광진구,자양동,882.5722543352601
학원,광진구,중곡동,645.6333333333333
학원,광진구,화양동,867.25
학원,서대문구,남가좌동,1030.4915254237287
학원,서대문구,북가좌동,664.5471698113207
학원,서대문구,북아현동,891.4
학원,서대문구,연희동,708.948275862069
학원,서대문구,홍은동,723.9358974358975
학원,서대문구,홍제동,684.7723577235772
학원,송파구,가락동,760.0576923076923
학원,송파구,거여동,1097.6923076923076
학원,송파구,마천동,324.42424242424244
학원,송파구,문정동,747.4415584415584
학원,송파구,방이동,1047.69
학원,송파구,삼전동,1079.0128205128206
학원,송파구,석촌동,928.0461538461539
학원,송파구,송파동,719.0655737704918
학원,송파구,오금동,1096.75
학원,송파구,잠실동,1359.4375
학원,송파구,장지동,590.5142857142857
학원,송파구,풍납동,800.5714285714286
